artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Nelly Furtado,Turn Off The Light,276106,FALSO,2000,1,587,679,2,-6.26,1,927,839,316,413,650,180.184,"hip hop, pop, latin"
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,FALSO,2000,36,852,750,8,-5.153,1,168,434,0.0,265,934,72.016,"hip hop, pop, R&B"
Tamia,Stranger in My House,285386,FALSO,2000,48,676,601,0,-4.905,1,297,103,0.0,147,206,119.940,"pop, R&B"
Debelah Morgan,Dance with Me,220106,FALSO,2000,49,850,674,7,-7.981,0,373,309,645,356,740,115.005,"pop, R&B"
Fuel,Hemorrhage (In My Hands),236866,FALSO,2000,49,313,831,1,-3.894,1,404,127,341,240,332,152.034,"rock, pop, metal"
Roger Sanchez,Another Chance,452906,FALSO,2000,50,610,820,3,-10.029,1,312,211,146,138,450,127.993,Dance/Electronic
Carl Thomas,I Wish,226760,FALSO,2000,52,736,666,1,-4.929,1,337,593,3.82e-05,107,224,89.824,"pop, R&B"
P!nk,Most Girls,298960,FALSO,2000,52,742,732,2,-6.046,0,311,424,446,101,694,97.922,pop
Ruff Endz,No More,242560,FALSO,2000,52,839,641,10,-5.669,0,858,324,4.56e-06,602,927,97.004,R&B
Da Brat,What'chu Like (feat. Tyrese),221160,VERDADERO,2000,53,879,681,10,-8.951,0,240,17,0.0,669,817,99.974,"hip hop, pop, R&B"
Madonna,Don't Tell Me,280973,FALSO,2000,53,699,618,7,-7.338,1,594,502,925,914,679,99.965,pop
Steps,It's the Way You Make Me Feel,197360,FALSO,2000,53,573,665,8,-5.081,1,239,108,2.09e-06,950,347,105.006,"pop, Dance/Electronic"
Erykah Badu,Bag Lady,348893,FALSO,2000,54,724,416,5,-8.964,0,841,365,0.0,969,578,151.181,"hip hop, R&B"
Ludacris,Southern Hospitality (Featuring Pharrell),300933,VERDADERO,2000,54,623,896,0,-4.719,1,247,35,0.0,941,613,95.158,"hip hop, pop"
M.O.P.,Cold as Ice,244466,VERDADERO,2000,54,656,880,11,-5.425,0,143,421,0.0,294,758,85.565,hip hop
Matchbox Twenty,Bent,256133,FALSO,2000,54,518,830,6,-6.814,0,386,404,3.85e-06,375,527,95.468,"pop, rock"
Moloko,The Time Is Now,318280,FALSO,2000,54,682,743,9,-10.644,0,165,350,129,277,546,127.962,"pop, Dance/Electronic"
Avant,Separated,255600,FALSO,2000,55,798,480,0,-5.564,1,276,247,0.0,237,643,108.241,"pop, R&B"
Bomfunk MC's,Freestyler,306333,FALSO,2000,55,822,922,11,-5.798,0,989,291,325,252,568,163.826,pop
Jagged Edge,He Can't Love U,244053,FALSO,2000,55,721,836,8,-3.972,0,206,112,0.0,235,508,126.279,"hip hop, pop, R&B"
Kandi,Don't Think I'm Not,243533,FALSO,2000,55,859,622,11,-8.196,1,445,661,0.0,394,433,134.007,"pop, R&B"
Kylie Minogue,Spinning Around,207866,FALSO,2000,55,761,662,6,-7.645,0,548,292,6.19e-05,956,631,120.043,"pop, Dance/Electronic"
Kylie Minogue,Spinning Around,207866,FALSO,2000,55,761,662,6,-7.645,0,548,292,6.19e-05,956,631,120.043,"pop, Dance/Electronic"
P!nk,There You Go,202800,FALSO,2000,55,822,847,10,-6.729,0,917,854,0.0,452,668,107.908,pop
Sammie,I Like It,251040,FALSO,2000,55,826,656,9,-8.529,1,617,101,113,272,852,129.963,"hip hop, pop, R&B"
3LW,No More (Baby I'ma Do Right),263440,FALSO,2000,56,721,723,2,-7.08,0,631,102,4.4e-06,651,761,88.933,"pop, R&B"
Jagged Edge,Promise,246720,FALSO,2000,56,751,568,5,-5.431,0,872,136,0.0,288,646,128.002,"hip hop, pop, R&B"
OPM,Heaven Is a Halfpipe (If I Die),257426,VERDADERO,2000,56,743,894,8,-6.886,1,349,755,283,367,770,95.900,rock
Joe,Stutter (feat. Mystikal) - Double Take Remix,213026,FALSO,2000,57,767,759,6,-6.516,1,117,513,0.0,310,677,89.989,"pop, R&B"
Mystikal,Shake Ya Ass,256973,VERDADERO,2000,57,914,607,7,-5.658,1,320,626,0.0,515,666,98.054,"hip hop, pop"
Madonna,Music,225973,FALSO,2000,58,736,802,7,-8.527,1,663,149,876,140,871,119.854,pop
Madonna,American Pie,273533,FALSO,2000,58,631,734,5,-7.48,0,360,348,0.0,135,591,124.036,pop
Ronan Keating,Lovin' Each Day,212973,FALSO,2000,58,541,899,1,-6.261,1,633,178,2.95e-06,286,829,106.676,"pop, rock"
Vengaboys,Shalala Lala,214819,FALSO,2000,58,751,901,2,-5.802,1,328,504,308,395,973,124.017,pop
JAY-Z,I Just Wanna Love U (Give It 2 Me),227866,VERDADERO,2000,59,800,922,4,-5.125,0,240,301,9.31e-06,352,801,98.631,hip hop
MÃ½a,Case Of The Ex (Whatcha Gonna Do),236906,FALSO,2000,59,772,688,1,-4.715,0,405,548,9.79e-05,725,348,98.000,"pop, R&B"
Ronan Keating,Life Is A Rollercoaster,234826,FALSO,2000,59,655,791,0,-8.923,1,302,0.1,124,334,862,118.981,"pop, rock"
*NSYNC,It's Gonna Be Me,191040,FALSO,2000,60,644,874,0,-4.666,0,801,459,2.24e-06,584,882,165.090,pop
Craig David,Fill Me In,257200,FALSO,2000,60,682,744,8,-6.981,1,365,376,951,60,827,132.493,"hip hop, pop, R&B"
Craig David,Fill Me In,257200,FALSO,2000,60,682,744,8,-6.981,1,365,376,951,60,827,132.493,"hip hop, pop, R&B"
